label,top1,top2,top5
夏威夷果,0.9811320754716981,0.9811320754716981,1.0
手撕包菜,0.8913043478260869,0.9891304347826086,1.0
肉饼,0.7111111111111111,0.8444444444444444,0.9777777777777777
酸汤肥牛,0.8771929824561403,0.9649122807017544,0.9824561403508771
炖鸡,0.7894736842105263,0.9473684210526315,1.0
椒盐蘑菇,0.6808510638297872,0.8085106382978723,0.8936170212765957
鸭脖,0.7777777777777778,0.8787878787878788,0.9393939393939394
清炒蚕豆,0.7619047619047619,0.9047619047619048,0.9523809523809523
糖醋排骨,0.410958904109589,0.6301369863013698,0.8493150684931506
辣椒炒牛肚,0.7586206896551724,0.7931034482758621,0.9655172413793104
凉拌毛豆,0.9577464788732394,0.9859154929577465,1.0
炒田螺,0.9732142857142857,0.9910714285714286,1.0
虾条,0.75,0.85,0.95
咖啡,0.7792207792207793,0.935064935064935,0.987012987012987
口水鸡,0.8488372093023255,0.9418604651162791,1.0
红烧日本豆腐,0.8571428571428571,0.9230769230769231,0.967032967032967
锅贴,0.6756756756756757,0.8648648648648649,0.8918918918918919
油炸虾,0.717948717948718,0.9487179487179487,1.0
红烧排骨,0.21052631578947367,0.42105263157894735,0.7894736842105263
桑葚,0.896551724137931,0.9310344827586207,1.0
蒸龙利鱼,0.6363636363636364,0.6363636363636364,0.7272727272727273
白吉馍,0.7083333333333334,0.8333333333333334,0.9166666666666666
刀削面,0.8823529411764706,0.9705882352941176,1.0
海带豆腐汤,0.7619047619047619,0.9047619047619048,0.9523809523809523
烤乳猪,0.7368421052631579,0.8421052631578947,0.9473684210526315
橙子,0.8936170212765957,0.950354609929078,0.9929078014184397
鲜榨西瓜汁,0.723404255319149,1.0,1.0
香烤肋排,0.34782608695652173,0.6956521739130435,0.9130434782608695
龙眼,0.9090909090909091,0.9090909090909091,1.0
李子,0.5882352941176471,0.7647058823529411,1.0
香菇排骨汤,0.2222222222222222,0.4444444444444444,1.0
开心果,0.9130434782608695,0.9565217391304348,0.9782608695652174
香辣虾,0.8641975308641975,0.9259259259259259,0.9629629629629629
洋葱炒蛋,0.75,0.875,0.9375
阿胶糕,0.7407407407407407,1.0,1.0
炭烤猪颈肉,0.65,0.8,0.9
芹菜炒虾仁,0.8867924528301887,0.9811320754716981,1.0
梨,0.7291666666666666,0.8541666666666666,0.9583333333333334
年糕汤,0.5641025641025641,0.6410256410256411,0.8461538461538461
卤煮猪肝,0.3125,0.6875,0.6875
烤鸭,0.7285714285714285,0.8857142857142857,0.9428571428571428
牛油果,0.8867924528301887,0.9433962264150944,0.9811320754716981
酸辣蕨根粉,0.8202247191011236,0.9887640449438202,1.0
西红柿鸡蛋汤,0.65625,0.96875,0.96875
白切鸡,0.9259259259259259,0.9876543209876543,0.9876543209876543
酿豆腐,0.72,0.82,0.96
臊子面,0.6046511627906976,0.7441860465116279,0.9534883720930233
白灼虾,0.8484848484848485,0.9393939393939394,0.9696969696969697
豆腐皮炒肉,0.42105263157894735,0.5263157894736842,0.7368421052631579
寿司,0.9473684210526315,0.9649122807017544,0.9824561403508771
通心粉,0.4444444444444444,0.8888888888888888,0.9444444444444444
西兰花炒虾仁,0.896551724137931,1.0,1.0
凉拌木耳,0.8367346938775511,0.9591836734693877,1.0
炸鱼,0.7333333333333333,0.7666666666666667,0.9666666666666667
炒花菜,0.9705882352941176,0.9823529411764705,0.9941176470588236
鸡蛋,0.868421052631579,0.9473684210526315,0.9736842105263158
杏仁,0.3076923076923077,0.6923076923076923,0.8461538461538461
黄焖鸡,0.5714285714285714,0.8095238095238095,1.0
木瓜炖雪蛤,0.8333333333333334,1.0,1.0
羊杂汤,0.7560975609756098,0.8536585365853658,0.9512195121951219
烤肉串,0.907563025210084,0.9747899159663865,1.0
蒜香青豆,1.0,1.0,1.0
馄饨,0.5135135135135135,0.6216216216216216,0.8378378378378378
卤蛋,0.9726027397260274,0.9726027397260274,0.9863013698630136
油泼面,0.5151515151515151,0.8484848484848485,0.9696969696969697
板栗烧鸡,0.8863636363636364,0.9545454545454546,1.0
玉米棒,0.2631578947368421,1.0,1.0
馓子,0.8695652173913043,0.9565217391304348,0.9565217391304348
木瓜,0.9375,0.96875,0.96875
饭团,0.8571428571428571,0.9642857142857143,0.9642857142857143
冰淇淋,0.8653846153846154,0.9326923076923077,0.9903846153846154
肠粉,0.813953488372093,0.9302325581395349,0.9767441860465116
芝士焗饭,0.8170731707317073,0.9390243902439024,0.975609756097561
糍粑,0.8,0.85,0.925
黄瓜炒鸡蛋,0.71875,0.96875,1.0
家常豆腐,0.8865979381443299,0.9690721649484536,1.0
哈密瓜,0.9347826086956522,1.0,1.0
蒜泥白肉,0.9423076923076923,0.9807692307692307,0.9807692307692307
碧根果,0.9827586206896551,1.0,1.0
爆炒腰花,0.75,0.9,0.95
香肠清炒荷兰豆,0.8676470588235294,0.9117647058823529,0.9705882352941176
爆炒鱿鱼圈,0.7692307692307693,0.9230769230769231,0.9230769230769231
青椒肉丝盖饭,0.7142857142857143,0.9285714285714286,0.9285714285714286
甘蔗,0.42857142857142855,0.7142857142857143,1.0
葱香莴苣,0.4,0.6,1.0
干锅鸭头,0.9146341463414634,0.9390243902439024,0.975609756097561
冬瓜排骨汤,0.7052631578947368,0.8736842105263158,0.9894736842105263
乌冬面,0.9142857142857143,0.9428571428571428,1.0
可乐鸡翅,0.85,0.95,0.975
海苔,0.875,0.9375,0.9791666666666666
回锅肉,0.6375,0.7875,0.9625
吐司,0.6590909090909091,0.9090909090909091,1.0
沙琪玛,0.875,0.9821428571428571,1.0
胡萝卜炒莴笋,0.4444444444444444,0.8888888888888888,0.8888888888888888
荞麦面,0.8611111111111112,0.9722222222222222,1.0
铁板豆腐,0.7368421052631579,0.9210526315789473,1.0
鸡公煲,0.676056338028169,0.8028169014084507,0.9295774647887324
卤鸡爪,0.9210526315789473,0.9473684210526315,0.9868421052631579
莲雾,0.7258064516129032,0.8225806451612904,0.8387096774193549
粉蒸肉,0.9008264462809917,0.9669421487603306,1.0
炸猪排,0.8461538461538461,0.9615384615384616,1.0
西瓜,0.896551724137931,0.896551724137931,1.0
韭菜炒香干,0.6551724137931034,0.9310344827586207,0.9655172413793104
菠菜猪肝汤,0.65,0.85,0.9
番茄牛腩,0.6404494382022472,0.8651685393258427,0.9662921348314607
海南鸡饭去骨,0.8235294117647058,0.8235294117647058,1.0
柠檬水,0.7674418604651163,0.8604651162790697,0.9069767441860465
红枣糕,0.44,0.68,0.96
芒果干,0.7959183673469388,0.8571428571428571,0.9795918367346939
豆角炒肉,0.7450980392156863,0.8823529411764706,0.9803921568627451
红油抄手,0.9166666666666666,0.9722222222222222,1.0
豉油鸡,0.52,0.8,0.96
月饼,0.974025974025974,0.987012987012987,0.987012987012987
血蛤,0.896551724137931,0.9310344827586207,0.9655172413793104
芝士虾球,0.6,0.7,0.9
蒜苔炒腊肉,0.6666666666666666,0.8888888888888888,0.9629629629629629
奶油蛋糕,0.85,0.875,0.925
酱牛肉,0.8245614035087719,0.9122807017543859,0.9649122807017544
日式煎饼,0.75,0.75,0.9166666666666666
葱油饼,0.46511627906976744,0.7441860465116279,0.9767441860465116
重庆小面,0.5,0.75,0.9375
窝窝头,0.76,0.92,1.0
梅菜扣肉,0.9625,0.9875,1.0
酸菜鱼,0.7831325301204819,0.9156626506024096,0.963855421686747
烤生蚝,0.8904109589041096,0.9863013698630136,1.0
糖果,0.7884615384615384,0.8846153846153846,0.9423076923076923
皮蛋瘦肉粥,0.9512195121951219,1.0,1.0
肚丝,0.44,0.8,0.92
石榴,0.8636363636363636,0.9772727272727273,1.0
大米粥,0.6470588235294118,0.7352941176470589,0.9705882352941176
烤鱼,0.8888888888888888,0.9555555555555556,0.9888888888888889
苦瓜炒鸡蛋,0.847457627118644,0.9491525423728814,0.9830508474576272
包子,0.9489795918367347,0.9795918367346939,0.9897959183673469
海鲜炒面,0.1724137931034483,0.3793103448275862,0.9310344827586207
蒜苔炒肉,0.7384615384615385,0.8923076923076924,0.9538461538461539
烤鸡,0.9404761904761905,0.9642857142857143,1.0
猪脚饭,0.76,0.88,0.96
汤圆,0.8688524590163934,0.9016393442622951,0.9672131147540983
麻婆豆腐,0.9489795918367347,1.0,1.0
凉拌粉丝,0.6666666666666666,0.8095238095238095,0.9523809523809523
蚝油西兰花,0.8888888888888888,1.0,1.0
蛋黄酥,0.835820895522388,0.9104477611940298,1.0
华夫饼,0.875,0.9431818181818182,0.9659090909090909
椰子,0.6,0.7333333333333333,0.9
鸭血粉丝汤,0.8529411764705882,0.9411764705882353,0.9705882352941176
肉松蛋卷,0.9354838709677419,0.967741935483871,0.967741935483871
松子,0.8615384615384616,0.9538461538461539,0.9692307692307692
西红柿炒鸡蛋,0.42045454545454547,0.9772727272727273,1.0
炒萝卜丝,0.6666666666666666,0.9047619047619048,1.0
蒜香排骨,0.782608695652174,0.9130434782608695,0.9565217391304348
矿泉水,0.8958333333333334,0.9479166666666666,0.9791666666666666
猪肉炖粉条,0.7222222222222222,0.9444444444444444,1.0
杂粮煎饼,0.6086956521739131,0.8260869565217391,1.0
三杯鸡,0.6410256410256411,0.8076923076923077,0.9102564102564102
西红柿鸡蛋面,0.8732394366197183,0.9436619718309859,0.9859154929577465
咕噜肉,0.8433734939759037,0.9518072289156626,1.0
牙签肉,0.8260869565217391,0.8695652173913043,0.9565217391304348
鸡蛋仔,0.8125,0.8958333333333334,0.9791666666666666
甲鱼汤,0.5625,0.6875,0.90625
菠萝炒饭,0.8712871287128713,0.9801980198019802,1.0
袋装小零食,0.8115942028985508,0.9420289855072463,0.9855072463768116
叉烧饭,0.873015873015873,0.9841269841269841,1.0
拔丝地瓜,0.8513513513513513,0.8918918918918919,0.9594594594594594
葱烧海参,0.8181818181818182,0.8787878787878788,0.9545454545454546
炸酥肉,0.6976744186046512,0.813953488372093,0.9069767441860465
葱爆羊肉,0.125,0.5625,0.90625
鱼香茄子,0.6730769230769231,0.8846153846153846,0.9807692307692307
莲藕焖猪蹄,0.3333333333333333,1.0,1.0
煎三文鱼,0.7708333333333334,0.8958333333333334,0.9583333333333334
法式洋葱汤,0.7272727272727273,0.9090909090909091,1.0
煲仔饭,0.7945205479452054,0.8904109589041096,0.9726027397260274
红烧带鱼,0.9125,0.9375,0.9875
馒头,0.8888888888888888,0.9555555555555556,0.9777777777777777
莴笋炒肉,0.9489795918367347,0.9693877551020408,0.9795918367346939
